review,sentiment
"This is the second Eytan Fox film I have seen. The fantastic actor, Lior Ashkenazi, who starred in Walk on Water, has a minor role in this film also.<br /><br />But the real stars are the young Israelis who live together in a tiny apartment - Noam (Ohad Knoller), Lulu (Daniela Virtzer), and Yelli (Alon Friedman); and the Palestinian that joins them off and on - Ashraf (Yousef 'Joe' Sweid). There is sort of a Friends/Sex in the City thing going on (mostly gay), and they all just want the war to end so they can go on with their lives in peace.<br /><br />But, that's the rub. No matter how many posters you put up or how many raves for peace you have, the war is not going to end. Many have tried over the years to bring the two sides to the table, but they just want to keep it going for whatever reason. There are many on the Israeli side, both there and here in the US, who just want it all and will not consider peace. There are many on the Palestinian side who apparently would be out of a job should peace ever come. It is in no one's interest to end this war, and the children suffer.<br /><br />This is always on your mind as you watch this funny and engaging film. It won't go away. You know something tragic is going to happen and, of course, it does. With the feelings on both sides running strong, and revenge as the motivator, tragedy always happens, and that is what makes this an adult version of Friends/Sex in the City. There is no superficiality. It is real life, and it was a beautiful thing to see.",positive
"Early Hollywood at it's best!! A classic Kipling poem is transformed into an epic adventure featuring memorable performances by a stellar cast. I think the measure of a good film is how many times you can watch it and still genuinely enjoy it. I've seen it a dozen times and still cry at the end and, admit it, you do too!!",positive
"I am very disappointed because I expected a real ride as promised in the many reviews. The script is very bad with lot of holes and the direction too. The director failed completely to develop each violent scene with thrills and suspense. It tries very hard to follow a wannabe thriller. Therefore I had to watch how every bullet was spent without giving any sense to me. I was always asking what kind of movie I am watching. Then I didn't like that she smoked aggressively one cigarette after the other but perhaps the film was supported partly by the tobacco industry. The end is also very disappointing. I cannot understand how Jodie Foster could have been nominated for the Golden Globe in this worst role of her life. Jodie, therefore I liked very much PANIC ROOM or FLIGHT PLAN. This is definitely one of the worst I have ever seen. 4/10.",negative
"Take your basic Frankenstein flick, inject some Reanimator (but not the good parts), and you have Doctor Hackenstein. Certainly, this was obviously inspired by aforementioned films but it never materializes as anything special on its own.<br /><br />A scientist accidentally kills his wife, so the whole movie takes place over the course of one night as he attempts to revive his wife. To revive his wife, he decides to chop off body parts from some women that have become stranded and, coincidentally, decide to stay the night at his place.<br /><br />I can't really say the acting is bad, nor is the directing. Everything here is just way too standard. What little attempts there are at humor actually work (check out the scene when Hackenstein keeps hiding behind his deaf assistant because she would undoubtedly be very upset if she saw him clutching a woman and a needle), but that's hardly enough to recommend this film. The music is decent, what blood that's there is decent, and the cast looks quite good. And for half of the time, I was even entertained by this film. But I never felt like this was anything more than a time waster. Avoidable.<br /><br />Try Frankenhooker instead.",negative
"Predator Island starts as six friends, Eric (Tom Dahl), Chris (Dan Gordon) along with Heather (Iris McQuillan-Grace), Kim (Iana Baker) & Denise (Melissa Roby) get invited to spend sometime on Kevin's (Michael Wrann) father's boat partying in the open sea. What could go wrong with such a super sounding idea? Well for starters a big green meteorite could crash into the sea near your boat & an alien life-force could emerge from it & try to kill all of you, then again that's just a ridiculously stupid idea, isn't it?<br /><br />Co-edited, written & directed by Steven Castle I thought Predator Island was crap & it's a simple & straight forward as that really. The script is of the worst kind, you know the sort of abomination that's full of highly annoying teenage character's who do & say the most stupid things, it's full of clichés & is utterly predictable, it makes next-to-no sense, things just suddenly happen without any build up or explanation, it's boring even at only 70 odd minutes & it has virtually no entertainment value whatsoever, not even unintentional laugh value. The film doesn't really have much of what I would call a plot, there's no explanation given as to why or how this alien creature can take over people's minds or why it can be selective in the sense that one moment the person will be 'normal' the next, when the story calls for it & with no apparent cause, they suddenly get green glowing eyes & a sudden urge to turn cannibal. There's not enough horror in it, the so-called action scenes are pitiful & I really don't want to waste another second thinking about Predator Island let alone wasting my precious energy typing these words...<br /><br />Director Castle doesn't do anything to make this thing watchable & the 'special effects' are absolutely terrible, this alien creature dude wouldn't even get into a 50's sci-fi film. The filmmakers even play some blooper footage over the end credits but this has to be the least funny collection of mistakes ever, I mean they can't even get it wrong right if you know what I mean! Forget about any decent gore as there isn't any, there's a bit of cannibalism & some intestines placed on the unfortunate actors stomach so another unfortunate actor can pick them up & pretend to eat them.<br /><br />With a supposed budget of about $150,000 I have to concede that the filmmakers were working on a seriously low budget, that's still no excuse for making such a poor film. The whole thing looks very cheap & the acting is pretty bad.<br /><br />Predator Island is crap, I'm sorry but that's the way it is & I just fail to see what anyone would get out of it. In my humble opinion this probably one to avoid.",negative
"Personally, I don't like a lot of b/w movies, but there's something magical about this movie. <br /><br />The movie starts with Elizabeth Lane (Barbara Stanwyck). ""Liz"" writes a magazine column about how she's the 'Martha Stewart' of Connecticut. Of course, she's lying. This becomes a problem when her publisher, Mr Yardley, asks her to play host to a NAVY sailor over Christmas. In addition, Mr Yardley, who's going to be alone for Christmas, invites himself up to the farm for the Christmas party. From there, things just go crazy.<br /><br />Since the movie is set on a New England farm, the movie has a warm holiday feeling. Plus, the characters are hilarious. Mr. Yardley is always shouting orders, and Liz's friend Felix is always yelling 'Catastroph!' when things go wrong. Finally, the movie ends the way a Christmas movie should end; a jolly fat man laughs and shouts ""What a Christmas!"" <br /><br />In short, no matter what age you are, you will love this movie.",positive
"Touching and sad movie. Portrays the trials and tribulations of a writer trying to come to terms with paralysis caused by a cycling accident. The film centers on his relationship with his married lover, whom he is often very hostile towards, and his interactions with other accident victims, particularly a black down-and-out and a white-supremacist biker. The film is often humorous, often sad, and always believable. Get out the box of kleenex and watch this on a cosy Sunday afternoon with your partner.",positive
"Wonderful cast wasted on worthless script. Ten or so adults reunite at the summer camp they attended as juveniles. Could this ever happen in a million years? It's simply a fantasy, and a boring one at that. Do they become teenagers again? Do they reenact their pranks, games, good times? They may try but ultimately the answer is: No. Is there any intrigue? Any suspense? Horror? Comedy? None of the above. How anyone can be entertained by this drivel is beyond me. I wanted to like this movie; I tried to like this movie, but my brain refused.",negative
"Right this moment I am watching this movie on TV here in Tokyo. Beautiful scenery, beautiful sets of biblical proportions, beautiful costumes, beautiful color, beautiful Gina. Great climactic scene when God destroys the Sheban idol and a lot more with de Millean thunderbolts at the moment when Yul and Gina are about to consummate their love. Yul does a halfway decent job of delivering his lines, though he sounds a lot like Yul delivering his lines as Ramses or Taras Bulba. George Sanders sounds like George Sanders playing George Sanders. Given the limited range of acting she is asked to display in this role, Gina does a good job, though by the time the movie ends, she is completely converted into a demure remorseful lass and looks likes she might be playing in a biography of Mother Teresa. I guess thunderbolts will do that to you, but it is almost breathtaking how quickly she jettisons her own beliefs for her new religion. The supporting players are mostly awful, lacking credible emotion and timing. The usual big battle scenes, what passed for lascivious dances in 1959, and an orchestra blasting out plenty of trumpet calls behind a huge chorus singing lots of ""Ah's"", but none of it quite of topnotch Hollywood quality. The final swordfight between Brynner and Sanders is at the laughingly low skill level of a junior high school play. The film is one big piece of eye candy but not much more.",negative
"""Masks"" is a moving film that works on many levels. At its simplest, it is the haunting story of a street performer who bonds with a young child while trying to pass along his creative art (masks) to the next generation. Although, at times the story makes the old man into a Job, it is so well crafted (written, acted, directed, wonderful production values), it is easy to move beyond his plight. And, if you hang with it, the film is ultimately very sweet and uplifting. Kudos all around. This is a wonderful film for children as well as adults. The trick is how to get Americans who may not like foreign language films to see it!",positive
Now first let me say I love god awful movies. Especially horror films mainly. I watched hundreds of movies on Mystery Science Theater 3000 with no pain. But this is the absolute worst film on the planet!!! I had to turn it off it was so bad. It was unfunny and just plain unwatchable. Give me 3 back to back viewings of Manos The Hands of fate or Monster A-go-go over this any day. Avoid this film like the plauge!! Now excuse me while I go gouge out my eyes to cleanse them of the filth I had to watch to get a decent judgement for this film. Only one decent gag in the part I watched was the hitmen now are an extermination pair for Hitmen Exterminators. Even that wasn't to great of a gag.,negative
"This movie is very silly and very funny. You can't ever criticize it for taking itself seriously. If you've heard their previous album or seen their HBO videos from the album, you can imagine the extremely foul-mouthed, rocking good time that is this movie which tells the fable of how the group Tenacious D came to be formed.<br /><br />Full of cameos, it not only gives a fictional account of Tenacious D but is a send-up of musical history as well. The humor reminds one of Something About Mary in that they often ""go places you'd thought they wouldn't,"" but it lacks the scatological humor of South Park. This movie contains no nudity, except for mooning.",positive
"This Kiyoshi Kurosawa ghost movie is pretty wild, and it did have at least one jump scare that caught me off guard. But all in all, the movie is incredibly stupid, with a detective trying to track down a suspected serial killer, only to find out he may have committed one of the crimes. Then he finds himself haunted by a gorgeous Asian lady ghost, and has no idea why (and neither does the viewer). As other murders are committed, he becomes even more confused as the killers are easily found, and this ghost still haunts him for some reason. Not only is the plot completely stupid, the lady ghost is more funny than anything, especially when she suddenly flies across the city, like Wonder Woman. And the ending makes little sense, in fact, the whole movie makes little sense, and I can't recommend it at all. If it didn't take itself so serious, I would think it was supposed to be a black comedy. Outside of ""Bright Future"" this is the worst movie directed by Kiyoshi Kurosawa I have seen yet.",negative
"A May day 1938 when happen a huge rally celebrating Hitler's visit to Rome serves as the backdrop for a love story between Antoniette(Sophia Loren)married to fascist(John Vernon) and Gabriel(Marcello Mastroianni). She's a boring housewife with several sons and he's a unhappy, solitary homosexual fired from radio and pursued by the fascists. She's left alone in her home when her spouse must to attend the historical celebration. Then both develop a very enjoyable relationship in spite of their differences. The film is set on the historic meeting Fuher Hitler and Duce Mussolini along with others authorities as Count Ciano and King Victor Manuel III, describing the events by a radio-voice in off which sometimes is irritating. <br /><br />It's a romantic drama carried out with sense and sensibility. An unrelentingly passionate romance between two conflicting characters. Magnificent performances from two pros make a splendid movie well worth seeing. Of course Ruggero Macarri and Ettore Scola's sensible screenplay results in ever interesting, elaborate and sentimental. Colorful and atmospheric cinematography by Pascualino De Santis. Emotive musical score by Armando Trovajoly with sensitive leitmotif. The film won deservedly Golden Globes 1978 to best Foreign Film.<br /><br />Director Scola's imagination stretches to light up the limited scenarios where are developing the drama. Usually his films take place on a few stages and are semi-theatrical. For example : ¨Le Bal¨(1982) uses a French dance-hall to illustrate the changes in society 2)¨Nuit of Varennes(1983) a stagecoach is the scenario where meet an unlikely group as Thomas Paine, Luis XVI and Marie Antoinette who fled from revolutionary Paris 3) ¨The family¨(1987)all take place in the family's grand old Roman flat; and of course 4)¨Una Giornata Particulare¨ or ¨A special day¨ where Loren and Mastroianni strikes up a marvelous relationship into their respective apartments and at the flat roof.",positive
"This film was so amateurish I could hardly believe what I was seeing. It is shot on VIDEO! NOT film! I have not seen the likes of this since the early 70's, when late night networks showed movie of the week 'horror flicks' shot in......video. It looks like a bad soap opera, and that is paying it a compliment. Some of the actors give it their best shot. Michael Des Barres does okay with what he is given to do, which is to act like a sex addict out of control. I can't say that it is pleasant to watch.<br /><br />Nastassja Kinski as the therapist sits in a chair for practically the entire film, with very little variation in camera angles. I can't fault her for someone else's poor blocking, but she is totally unbelievable in her role. Her little girl voice works against her here. And I consider myself a Nastassja Kinski fan. She is certainly ageless and exotic, but she's outside her range with this.<br /><br />Alexandra Paul is pathetically overwrought. Every line she delivers is with three exclamation points. Someone must have directed her to scream at all costs. Why would Michael Des Barres want to have sex with such a raging shrew?<br /><br />Finally, Rosanna Arquette as the sweet, maligned wife comes off okay, and probably the most believable of the bunch. But that is not saying much.<br /><br />This has to be the worst film I have seen in years.",negative
"Well... Vivah is quite a good, but typical Sooraj Barjatya's movie. It shows different aspects of Indian families, wedding ceremonies, etc. The movie is more than good, but not extremely good.<br /><br />The big plus point of the movie is direction, music and Shahid and Amrita's acting (especially the last scene). The movie starts with a common factor of Indian movie--- A girl being disliked by her step-mother. Story is the movie is a bit common, but it is good, good enough to make the movie a blockbuster.<br /><br />Minus point is common story of Bollywood movie. Overall I would say it is two times must watch movie, if you want to see typical Indian family values and of-course love!",positive
"It had all the clichés of movies of this type and no substance. The plot went nowhere and at the end of the movie I felt like a sucker for watching it. The production was good; however, the script and acting were B-movie quality. The casting was poor because there were good actors mixed in with crumby actors. The good actors didn't hold their own nor did they lift up the others. <br /><br />This movie is not worthy of more words, but I will say more to meet the minimum requirement of ten lines. James Wood and Cuba Gooding, Jr. play caricatures of themselves in other movies. <br /><br />If you are looking for mindless entertainment, I still wouldn't recommend this movie.",negative
"Why do they keep making trash like this? because it makes money that's why. Eraser is not so much a film but a string of action set pieces strung together. It's well filmed but predictable and it's all been done before, only better. This is basically a Nineties version of 'Commando'.",negative
"This was obviously the prototype for Mick Dundee but 'The Adventures of Barry McKenzie is funnier. I was amused throughout and laughed out loud plenty of times. Terrific central performance by Barry Crocker in the title role, an Australian who invades England to upset the poms with his free-flowing uncouth ways. Few Brits will be upset by Barry's frequently cruel observations on his hosts. The relationsip between the two countries is prickly but friendly and this is highlighted by the film's final line, delivered by a somewhat reluctant McKenzie as he boards the plane home. ""I was just starting to like the poms.""",positive
"Bloody awful! There's just no other way to put it. In fact, it's **SO** bad that the only reason I'm wasting words on this is to warn off other reasonable viewers who want to be intelligently entertained. You'll lose I.Q. points watching this. Come to think of it, it's not even suitable for mindless viewing because of the irritation factor. There's no guilty pleasure in watching something this incompetent.<br /><br />Reasons to avoid it:<br /><br />1) Horribly scientifically inaccurate, to the point where this isn't sci-fi anymore, it's just mindnumbingly sloppy, lazy fantasy.<br /><br />2) It sports FX that are cheesy beyond belief. Not even cheesy-kitsch that's a wink and a nod, like vintage Doctor Who, but just cheap and shoddy to the point of being insulting. The FX are so bad they're not even laughable. They spent about a dollar-fifty on this, not more.<br /><br />3) The direction is so weak and mindless that the only way the actors could make it through to the end of shooting without becoming terminally depressed was to sleepwalk through their roles, although Catherine McCormack made some effort anyway, probably on principle and despite the director. Moreover, this isn't Peter Hyams's only bad film: his flubs vastly outnumber any barely salvageable ones, of which Timecop was the last such, and that was 15 years before this writing. he's had nothing halfway decent since (End Of Days was just as slapdash, Arnold was the only draw, and he needed much firmer direction than Hyams provided). Hyams just keeps making it more and more pointless for anyone to consider giving him more work.<br /><br />And finally,<br /><br />4) Ray Bradbury's stories deserve far better treatment than this. Refusing to watch this film sends that message, not that Hollywood is particularly listening.<br /><br />Watch at your own risk. If you do and it turns you off movies altogether, you've only yourself (and Hyams) to blame because you've been more than adequately warned.",negative
"As someone who likes chase scenes and was really intrigued by this fascinating true-life tale, I was optimistic heading into this film but too many obstacles got into the way of the good story it should have been.<br /><br />THE BAD - I'm a fan of Robert Duvall and many of the characters he has played, but his role here is a dull one as an insurance investigator.<br /><br />The dialog is insipid and the pretty Kathryn Harrold is real garbage-mouth. From what I read, there were several directors replacing each other on this film, and that's too bad. You can tell things aren't right with the story. I couldn't get ""involved"" with Treat Williams' portrayal of Cooper, either. He should have been fascinating, but he wasn't in this movie. It's also kind of a sad comment that a guy committing a crime is some sort of ""folk hero,"" but I admit I wound up rooting for the guy, too.<br /><br />Not everything was disappointing. I can't complain about the scenery, from the lush, green forests of Oregon to the desert in Arizona.<br /><br />I'd like to see this movie re-made and done better, because it is a one-of-a-kind story.",negative
"What annoys me with so called 'science' programs such as these is that it is presented as if it were a FACT that dinosaurs live 'millions' of years ago. Firstly, nobody can even conduct a scientific experiment to prove that the earth is millions/billions of years old. It's a shallow theory based on inaccurate radiometric dating methods with huge assumptions thrown into the evolutionary pot.<br /><br />Secondly, nobody can prove that evolution ever happened. All Darwin's missing links are still MISSING ! If you look at all the fossils anywhere in or on the earth, they are complete animals of a certain kind eg: a dog or a cat. Nobody has ever found the skeleton of a dog turning into a cat or in the example presented in this series, a dinosaur turning into a bird.<br /><br />This is utter hogwash. There's more proof that Santa Claus exists than any animal changing into another kind of animal.<br /><br />All the ideas presented in this series is an attempt to eliminate the idea that the universe and the everything in it, was created.<br /><br />This series is NOT SCIENCE. It is a religious world view that hides under the banner of science. Science is something we can observe and repeat. What you are seeing here is SCIENCE FICTION. <br /><br />If you want to watch a science fiction program that has the decency to admit that it's a science fiction program, then rather watch Star Trek or Star Wars.",negative
"The first thing that struck me about this movie was the terrible acting. The whole cast was so uniformly inept at delivering their lines that I started laughing at the awful dialog midway through the film. An even bigger issue with this movie is that at no point do we ever find out what motivates the actions of each character. The one somewhat redeeming aspect of the movie is Halfdan Hussey's innovative visual effects. However, as eye-catching as they may be, they do little to make up for the gaping flaws mentioned above. A dreadful script mixed with community theater level acting does not make for a pleasant viewing. I was honestly shocked at how bad this movie was.",negative
