label,review
1,我是穷人。//@新居时代屈扬：看了这个标准线，鸭梨很大啊！[做鬼脸][哈哈][哈哈]
1,[鼓掌]//@老头夜话: 好片子！//@贾鹏paul: 各种PS
1,好好度假哦！[爱你][爱你][爱你][爱你]
0,冻，死，我，了[泪]
1,//@娜蝎年华:[哈哈]
1,[嘻嘻]热爱围棋的抓紧第二轮报名啊 //@天涯棋客江芮:现在，有来自全国各地的棋友，报名参加赴日的已经过百人。这次日本长崎官方方面提供了优惠条件，日方棋友已经准备好迎战中国棋友。希望大家这段时间加油练习，争取发挥出自己的最好水平。以棋会友。还未办理报名的小朋友们请尽快补报，谢谢！
0,刺瞎我的眼吧[抓狂][神马][浮云] //@美团郑州小马哥: 这是车展还是模展！[围观]
1,感谢支持！wifi在桌牌上都有提示，明天会全部写在小票上[嘻嘻][嘻嘻]
0,电视播到凤凰卫视，这个女主持太搞笑了。拿着火腿说是培根！然后做的蘑菇汤颜色非常奇怪[晕]电视节目好不负责啊，愚弄观众么
0,要不～把糖戒了？ //@心-型圈:[衰][可怜][抓狂] //@端端知了: 啊 我高中时就经常吃糖 难道因为这个原因我影响了我高考么 啊啊啊 嘿嘿
1,各位私信的盆友们我戴的雪镜是Smith的我就不一一回复了见谅哈[爱你]
1,//@明敏1101:[哈哈][哈哈][哈哈] 真的哎//@清华南都:我确定有一张就是火腿//@占-Loewe：我草，越到后面越糊涂了
0,一岁零两个月的波妞是青春期吗？整个就是一小疯子[汗]非常的躁动，作为一个mm，撒尿也是边走边尿[晕][生病]
1,#海南美景# 【儋州千年古盐田之美】儋州洋浦开发区的新英湾区是一个天然避风的海湾，在这个海湾里，有流传千余年的古盐田和晒盐技艺，被人们称为洋浦最早的“工业”。它没有天生丽质和华贵的美貌，它的美朴实而厚重，它有些神奇和神秘，它成了人们眼里一道绝美的风景。[爱你]http://t.cn/8kqPUnB
1,@忽而今夏-云 @Sophie诺诺 @光头老薛 [哈哈][哈哈][哈哈][哈哈] 我手机的logo缺了一块！//@琢磨先生:大早上被笑醒了～ //@文怡: 哈哈哈哈哈，我终于理解为嘛微博上老有人说吐槽无力了[哈哈][哈哈][哈哈][哈哈]
0,灾难面前，众多媒体人只能在微博上慷慨陈词，悲哀！[泪]
0,真心相信了@evitawu  说的：胸大，穿什么、怎么穿都不好看。//@joyshen的围脖:静脉曲张啊// @有劳姑娘 :容嬷嬷，上针！ // @夏林菲 :[衰]
1,tourssrok的确是我的最爱。很准呢。//@山山工作日记:我老公是天蝎爱必浓，一价全含适合他，吃的多[偷笑]//@Coits周乐: 我是爱舟酒店 我老公是艾美酒店 要去二次毛球度假[爱你][鼓掌][鼓掌]
0,每次看到流浪狗过马路总是很揪心，可怜的狗狗惊恐无助的眼神久久不能忘[泪][泪][泪]
0,那我这个苹果[馋嘴][泪]
1,还真的满煞的[偷笑]#啊对不起没关系嗷嗷嗷#//@Eterchen: 短发好//@妖妖小精-色系军团: [哈哈][哈哈][哈哈] //@正宗好鱼头:哈哈哈哈哈 //@空军教练白娘娘:哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑完之后惨痛回忆悲从心来！！！//@庄雅婷: 明明是嗷嗷嗷嗷嗷嗷…
1,演出完毕，吃饭去喽，好圆的?！[爱你][爱你][爱你][嘻嘻][嘻嘻][哈哈][哈哈]
0,好久木有中过奖啦 [泪] @lily19966 @铃铛儿MM
1,虽然还有一堆小问题！但最艰难的部分搞定了！[鼓掌]可以睡几天好觉了！TMD我真是个苦逼的码农！[泪]
1,有一种闲，叫闲得蛋疼。。。[哈哈]
0,呷哺呷哺今天又遇见文盲曰：jia pu jia pu[汗][晕][吃惊][鄙视]
0,??明天终于可以休息了[泪]，不是因为过节而是因为周末…[悲伤]
1,给你这伴儿起个名儿 大双和小双 //@嘻哈包袱铺陈曦:不怕[鼓掌] 在火车上的钱还没花完呢，你懂 的// @嘻哈包袱铺刘星 ：小心贼惦记[酷]
1,回复@Ben_Poon_:有点底子就行，关键是有心 //@Ben_Poon_:惭愧，惭愧！…在这行业真的很渺小！…[握手] //@糖哥-咖啡大佬老冯:光想可不行啊[嘻嘻][嘻嘻]  //@chloe-yung:想啊
0,千辛万苦走到木樨地，这回好了，彻底被拦截，又得为哪位让道啊。[抓狂] 我在这里:http://t.cn/zjfeOkr
1,早上6点醒来，吃了一份三明治和橙汁，接着睡到10点多。起床，第二份早餐之后，看爸爸去哪儿，这一集特好看，笑点多，也有许多感人的地方。我觉得Angela是5个小孩中最最有趣的一个，嘴巴甜，表情特丰富。看到她最后在海边急的大叫，我太瘦啦，我是瘦，我是瘦。。。[哈哈][哈哈] 笑喷了。
1,[哈哈]//@Daniel风的来世: [哈哈]
0,Tim COOK承认苹果在北美停止增长 肿么办呢[抓狂] 2月10日美国刊登了对苹果Cook进行专访的问答式文章。当时库克刚结束苹果2014 Q1营收会议，其报告结果也引起投资者们不满。之后苹果股价立刻大跌8%。库克说“从我们的财报就可以看出，公司被北美市场拖累，因为负担太重了。”这一回答诚实而又直接[抓狂]
1,真神奇，我也看到纳[哈哈]话说，你们也互粉纳[偷笑] //@弱水三千的地图:你看到了！我也看到啦！[耶]  //@憨逗滴猪宝贝:能看到的都会幸福[嘻嘻]
0,好吧，你赢了，我不喜欢，我不想死后被解剖得那么凄凉。//@aya爱吃芒果干: @噢咔咔 //@神秘震惊事件: 这口味的确有点重[衰]
