"","review","sentiment"
"30606","...""Inglorious"" as our local theater decided to display its title on their marquee, minus the second word. It is terrific cinema.<br /><br />I don't hesitate to recommend this film to all but the over-squeamish. Let them never know what they're missing.<br /><br />I did hesitate to give it ten stars because of my experience of Tarantino's previous films. In every case, save ""Reservoir Dogs,"" they have improved with additional watching.<br /><br />So although I gave it ten stars, I did so reluctantly. It leaves me no ""up"" to go to.<br /><br />Yes Christoph Waltz is the Nazi we've all imagined the worst to be. He is cultured, sophisticated, suave and most sadistic, the kind of man who can make a glass of milk a threat and who puts out his cigarette abruptly in a strudel, grinding it into the whipped cream as if he were grinding his heel into a victim.<br /><br />To understand Tarantino's films, you need only have a sense of dialogue, color and pacing. The colors are as bright as necessary and when necessary, brighter yet. In the French farmhouse of the opening scene, they are muted and dark, but excessively so. Outside a brilliant sun is shining, but in the one room of the house, everything is bathed in shadows and black.<br /><br />It is a brilliant setting for an interrogation by Waltz, as the ""Jew Hunter"" of the SS, who dangles his host French farmer over the precipice of revealing what he cannot reveal numerous times, then pulls him back with obsequious lines of friendship and understanding.<br /><br />A second sadistic German, well-played by August Diehl, later functions as important actor in the final plot twist. Diehl's Nazi Major, who has an ear for German accents, is almost as good as Waltz....almost.<br /><br />Film classes will study much from this movie. They should look lovingly at the superb pacing. Tarantino knows just how long to draw out a scene, building suspense in the manner of Hitchcock, then at just the breaking point, suddenly coming to a resolution.<br /><br />For color, look for a final shot at a French Theater, where its secretly Jewish proprietor is staging a surprise for the upper reaches of Nazi leadership.<br /><br />We see her, played by Melanie Laurent, awaiting the hated German dignataries who will arrive for a film preview of the latest Deutsch film masterpiece, a propaganda piece about a German hero and his dubious accomplishments.<br /><br />Laurent is framed on a balcony, reflected in the glass mirrors of the gorgeous theater, her red lips and low cut dress reflecting everywhere the intensity of her designs on her guests. It is a single shot that would be worth an entire film.<br /><br />There are thankfully many more such images, many more paced scenes of exquisite dialog and suspense.<br /><br />In short, see it. I'm sure you'll see it again and again.","positive"
"17205","When I heard that the Dukes of Hazzard was going to be remade with current actors and a solid script, I was like, ""alright, I'll give it a chance, it's not going to be better than the first, but we'll see what happens."" Well, I saw what happened. I saw a great late 70's/80's show that was a classic, basically humiliated by Hollywood. It's so sad to see that Hollywood scriptwriters cannot come up with something original these days. They are seeming to take a great show that had a great target audience, and try to ""REMAKE"" the classic show. HEADS UP Hollywood... IT AIN'T WORKIN!!!! Anyway, more about the show. I think they could have casted a better actor than Sean William Scott (Stiffler from American Pie) to play Bo. I'm sure that John Schneider is definitely disappointed with how his character was portrayed and taken advantage of. Also, Get for real, Johnny Knoxville, as Luke Duke. How low can you go?? A crappy jackass actor to play lovable Luke. This sickens me. Also, I'll give Jessica Simpson is a beautiful woman, but her acting sucks. Catherine Bach who played the original Daisy, was smart, sexy, strong, opinionated and a good IL' southern girl. She was every little girls role model growing up! (I owned the doll and the Jeep - thank you very much!!!) Anyway, Jessica Simpson played a smart ass, 2-bit slut as Daisy Duke. Daisy never was blonde. Why did they have to cast her. Jessica Alba would have played a great Daisy Duke. She can speak with a great southern accent, and she is gorgeous, and would have done a wonderful job. Anyway, I'd like to say that this movie blew something fierce. I feel like I got ripped off by paying $8.50 for tickets, and they should refund my money. If you like the Dukes of Hazzard (the original series) don't see this movie. It'll just upset you. CMT (country music television) plays the reruns of the Dukes all the time later at night. So set your TIVO's and go with the real thing, not the imitation on the big screen in Hollywood.","negative"
"32495","Jamie Foxx is fun but this movie has been done before. The bad guy plays a ""malkovichian"" character from ""In the Line of Fire"". The cops will do anything to find the bad guy - and of course the good guy has two sets of bad guys and one set of cops after him - all the while he is just trying to turn over a new leaf...","negative"
"46611","This really is a film of two halves. The first detailing the lives and friendship of two boys (one a privileged Pashtun and the other a down-trodden Hazara) in late 70s Afghanistan before the invasion by the USSR works extremely well. The young actors turn in convincing performances and seeing Afghanistan as it once was throws the present situation there into stark relief.<br /><br />The real problem comes when we move into the later phase of the story where we join the Pashtun as a man living in America. Ancient debts to his young friend lead him to return to his homeland and it is really at this point that things break down. The central adult character is clearly supposed to be sympathetic, but in fact comes across as wimpish and wallowing in self pity. It is hard to really care for him and one cannot help but feel that the really interesting story is the one we do not get to see - that of his boyhood friend.<br /><br />Once he returns to Afghanistan the narrative becomes bogged down in a series of highly contrived coincidences. Most remarkably he manages to come across his childhood enemy after all these years almost immediately (even though he is not looking for him), despite the chaos that has since consumed the country. This enables him to confront past demons in a way that is simply too convenient to be credible. The resolution of the narrative is also run through with an awful, mawkish sentimentality which undermines any really serious points the film may be trying to make.<br /><br />Although it is possible to start seeing characters and the abuses of their lives as symbols of a state which has been torn apart by world politics it is hard to really see this as a film which engages with any wider political discussion. Instead the narrative becomes reduced to one character's emotional journey of self discovery and healing. Unfortunately this character is so dull and wrapped up in himself that it is hard to really become engaged in his story, while opportunities to make a really interesting film about Afghanistan itself are wasted.","negative"
"48963","The premise of the movie had much going for it, however, despite the novelty of models selling off someone else's furniture to live the high life, this movie has nothing going for it. The characters are cardboard. The dialog is so painfully scripted, it's hard to sit through, and if there were any jokes in the movie, I missed them. Marilyn Monroe's walking into walls because she doesn't want to wear glasses is completely unbelievable & not funny. Grable's stupidity is also too ham-fisted to be believed. Bacall's gold-digging is so forced, it's annoying to listen to. Why anyone would want to sit through this is beyond me.","negative"
"12502","Ugh, what can I say other than, ugh. I rented this film because it was labeled as a sequel to the original Vampires. This movie could not have been any lamer. Lacking not only in plot, but the acting is atrocious. Combined with some obvious plot holes makes this movie a very hard one to watch. Many times I questioned my own sanity at continuing to watch the film long after the plot had jumped the shark. Here's a sampling of the lamer aspects...<br /><br />***SPOILERS***<br /><br />Professional ""Slayer"" insists on sleeping outdoors by himself at night. He wakes up to a woman crying, sitting no more than 3 feet from him in the middle of nowhere. He immediately goes to comfort her without questioning her sudden appearance. She goes from crying to seducing him, and he lets it happen with obvious results...<br /><br />One of the main characters is Zoe, was bitten by a Vampire, but as long as she takes these ""experimental pills"" she got in Mexico City, she's fine, although her body temperature is below room temperature...<br /><br />Guard outside of monastery where hero is staying the night is killed by vampires, hero leaves the next day. He then returns a day later only to be surprised that the vampires attacked the monastery the night after he left...<br /><br />...avoid this movie.","negative"
"27043","Scott Henderson (Alan Curtis) is unjustly accused of killing his unfaithful wife. The night she was murdered he was out with a mystery woman who refused to give him her name. After accused of the murder, the police visit all the places he had been with her, but people only remember him being alone. He's sentenced to die and his secretary (Ella Raines) sets out to find the murderer herself because she loves him.<br /><br />This was made as a B film from Universal (look at the cast--all character actors and one star--Franchot Tone--on the decline). The budget was small and the cast mostly unknown but what came out is one of the best film noirs of the 1940s. It's beautifully directed by Curt Siodmak and has a fantastic script that came from an excellent book by William Irish (a pen name for Cornell Woolrich). It moves quickly and just looks fantastic. And there's the infamous jam session with Raines and Elisha Cook Jr. which just comes off the screen with incredible sexual energy (I'm surprised the censors didn't cut it).<br /><br />There are only a few flaws that prevent this from being perfect. Tone gives a dreadful performance. He looks ghastly and he's just horrible. Also Curtis is stiff and bland as Henderson. You really wonder why Raines loves him--he's so unemotional. But Raines is pretty good in the lead role. She's pretty and full of life. Also the last scene when the murderer is after her never rings true. He's hardly a threat physically and her reactions just seem overstated.<br /><br />Still I'm giving this a 9. A really great film--flaws aside.","positive"
"16807","If you really loved GWTW, you will find quite disappointing the story. Those who may think this is just about a romantic story and the south, will be probably satisfied with this decent TV production (altought I consider an important miscast the choice for Scarlett). But, let me say that considering the novel, nothing good could came out of this.<br /><br />I've read GWTW more than 20 times and I can really appreciate the adaptation Mrs. Mitchell did for the film. It took me some time to understand how good the ending was: Scarlett knew for sure she was going to recover Rhett, since she always got what she wanted. But there was no kiss in the end.<br /><br />Then Alexandra Ripley came to ""fix"" this by showing us exactly how perfect and mighty Scarlett could be, and of course, describing in detail how exactly she gets Rhett back even when she had an important affair with someone else (nothing could have been further from Mrs. Mitchell mind, I am sure).<br /><br />The story between these points is in my opinion just a long and boring ride made up to tie ends, showing off costumes and scenarios just to give us an obvious and totally unnecessary ending.<br /><br />If Margaret Mitchell could came to live again, she would die one more time at the very moment she'd find out what Scarlett became after GWTW.<br /><br />Sure it's not fair to compare this to the original but this is not GWTW fault. Isn't it? Is it any good if I don't compare it to the original? Maybe. Sorry to say I don't really care.<br /><br />I would expect little more compromise to continue someone else's (suberb) work, otherwise don't even try.","negative"
"34222","This is the best movie I`ve ever seen !!! Thomas Beckett & Richard Miller -two mankinds who want to survive in the ""jungle"" of violence and madnes, one shot - one killed !!? You must kill, if you getting doubt about something, YOU MUST SURVIVE !!<br /><br />P.P.- I appologise of my bad / worst/ English !!!","positive"
"6150","For starters, it's a very funny movie with a few crazy characters running around that are bound to make laugh (check out the two Russian bugs).<br /><br />A Bug's Life has a classical Disney storyline, but that's one of the good things about the movie. Family values are praised and the main characters of the film undergo some evolution in order to stand up against the grasshoppers in the end. And it also has a couple of great voice-overs by Dave Foley, Julia-Louise Dreyfus, Kevin Spacey (of course),... But actually, the most amazing thing about this movie is the animation. It's just wonderful. All the details, great colors, every ant looks different, beautiful backgrounds... And the guys and girls at Pixar made it all look so realistic. All in all, a very nice piece of work. This is the best animation by Disney since Aladdin.","positive"
"13390","After too many bad memories, I took to skipping this episode each time it showed up in the Season 2 sequence. I recently watched it again just to remind me why. I've always considered this the worst ST:TNG episode (with the exception of ""Shades of Gray,"" which barely counts as an episode at all).<br /><br />I keep listening to the clunky dialogue and thinking of the script red-penciled by the author's Writing 101 teacher: ""SHOW, DON'T TELL!"" From Deanna Troi's pronouncement, and everyone else's constant elbowing reminders about what a charming, dangerous rogue Okona is, to Guinan's explanation about how funny her droid joke is (it isn't), to the who-cares resolution to the conflict, there isn't a plot point that isn't highlighted and triple-underlined for our edification, and there ain't a believable moment in any of it. Unfortunately, Bill Campbell, a charming actor in other circumstances, is too puppy-dog huggable to be the center of the machinations of the plot. On the other hand, it could be that no one short of John Barrowman (Jack Harkness from ""Doctor Who"") could pull of this underwritten placeholder of a role.<br /><br />(Zero points, by the way, to the Data subplot. While I think Joe Piscopo stopped being funny decades ago, he and Brent Spiner had nothing to work with here. Although the Jerry Lewis bit was funny in a stupid way.)<br /><br />On a good day, you may be able to think of this as a charming little homage to a lesser Original Series episode. Me, I'd rather skip ahead to ""Time Squared"" or ""Q Who.""","negative"
"10046","The Buddy Holly Story opens on a shot of a yellow neon moon on the roof of a roller rink in 1956 Lubbock, Texas. As the credits start, the camera moves down from the moon to the parking lot, into the roller rink, past the concessions and across the rink to a small bandstand where a small band is doing their sound check. It's a tracking shot Welles and Scorcese would both appreciate. It cuts to Buddy Holly's bespectacled face peering down in rapt concentration as he grips the headphones and talks to a man putting this band on the radio. <br /><br />A young Gary Busey plays Buddy Holly and his performance is key. He has to somehow show the passion that Holly had for his music to make the film work. This is a rock and roll story without lines of coke chased with shots of heroin and a fifth of whiskey. This isn't about a man with several women to choose between in a sex scandalized, brood abandoned lusty tragedy. This is a film about a nice Texas boy who respected his parents and went to church and had the same girlfriend for 5 years and fell in love with rock and roll. Busey finds that spark and ignites it, his passion is clear and infectious. He really plays the guitar in the film and sings, its not overdubbed with Holly's recordings. Busey was a young guy in Hollywood in the seventies, a struggling actor and as much or more so a struggling rock musician as well. Thus, he gives a great performance, because although he isn't Buddy Holly, he's in a similar situation. <br /><br />His first song is the old Les Paul classic, ""Mockingbird Hill"" and he has the country twang to nail it. Next a kid calls out for some bop, and against his two band mates (in reality the Crickets were 3 guys, but the down-sizing works fine for the film's limited narrative)he leads them wailing into ""Rocking with Ollie Vee"". The kids love it and the parents hate it. The DJ at the rolling rink tapes it and it is later released in New York without Buddy Holly even knowing it was ever recorded. This leads to the funniest scene in a film filled with humorous moments. An amped-up disc jockey from Buffalo calls up Buddy at home. The DJ has been playing ""That'll be the Day"" for 12 hours and is going for 24. The cops are banging on the station's barricaded door. Holly is confused, but when the dust settles, he is quite thrilled. He tells the boys, and their meteoric rise begins. Dan Stroud as the drummer and Charles Martin Smith as the bassist round out the band nicely and have good chemistry with each other. There are problems but not overblown drama thats found in most rock (all?) biopics. The movie doesn't manipulate you either. Your emotions soar, but they're not manipulated. When the Crickets step onto the Apollo stage in Harlem, the first white group ever to play there, then rip into an electrically charged performance of ""Oh Boy"" and win the audience over, my rock and roll loving ass got choked up and cried. Next, Busey and the boys make ""It's so Easy"" sound funkier and more soulful than I would have believed possible. <br /><br />Anyone with even a cursory knowledge of Buddy Holly's story will know where this movie will end. Holly died in a plane crash with Richie Valens and the Big Bopper way too young. We, as the audience know that, yet the movie is so well written, directed and lovingly acted that we forget it almost immediately. The movie isn't about his death, it's about his life and his place in rock and roll history. The film ends with his last performance and it's a good fifteen minutes of Busey rocking out possessed by the ghost of Buddy Holly. I was happy to hear him end it on ""Not Fade Away"", my favorite of his songs. The film freezes before the end credits with the information about the plane crash, but I hardly noticed it. I was still thinking about how good that last song was.","positive"
"5288","This film is famous for several qualities: a literate script, for once in partly-religious film-making, by Philip Dunne, some very good performances, a first-rate production in every department and its intelligent direction by veteran Henry King. If one were making a film, then getting such talents as Leon Shamroy as cinematographer, Lyle Wheeler as art director and Alfred Newman as composer of original music would guarantee a quality production. Add the cast of this film, including Gregory Peck and Susan Hayward as the title characters, James Robertson Justice, Raymond Massey, Kieron Moore, Jayne Meadows and John Sutton plus a dance by Gwen Verdon and expectations might be raised that the resulting film could be made into something special. But in a biblical subject script, usually a sub-genre prone to illogical motivations and miraculous interventions, everything would ultimately depend on the author's skills. Philip Dunne here has supplied human beings, a rare achievement in biblical films. David is a man in this film, many-sided, not someone doing mythical deeds on paper in the Old Testament. Gregory Peck makes him curious, passionate, self-controlled, self-deprecating and appealing. As Bathsheba, Hayward is scarcely the perfect choice but conveys a good deal of common-sense earthiness and emotional normalcy that helps one see why the King of Israel would risk so much for her. The rest of the cast is stalwart and capable by turns. The familiar storyline provides them little to work with, but author Dunne and the cast do as much as is possible with the human situations. David's youth is told in flashback; how he was chosen by a Prophet of Yahweh to be King of Israel, and earns his way to be second to the king, Saul, by defeating Goliath the Phiiistine in battle when all else are afraid to beard the giant warrior. Thereafter, he finally is driven from the court of King Saul of Israel, becomes a famous warrior, and returns to claim the kingdom and become the instrument of death of Jonathan, the King's son, formerly a friend. His wars are successful-- the film opens in fact with a successful attack scene; but his life is empty since his wife Michal, Jayne Meadows, is Saul's daughter and is cold to him. He turns to Bathsheba, whom he sees from the palace roof bathing naked; later she admits she had hoped he would see her. But she has a husband, Uriah; when she becomes pregnant, it becomes necessary for Uriah to come in from the battlefield and spend time at home; he instead asks David to set him in the forefront of the battle, even after being aroused by Verdon's dance. David agrees. He is killed, a war hero; but this does not solve the infidelity question. Drought comes to Israel, and the king's infidelity is blamed for the phenomenon. At last, David places his hands on the Ark of the Covenant, recently brought to Jerusalem and housed in a temple, which has caused the death of others who accidentally came in contact with it, inviting his god to punish him--and nothing happens...David exits the temple, and finds that rain has come to his parched land. This film is always interesting, varied in its types of scenes and physically beautiful. The director and author make use of the observer principle, and are frankly more successful in humanizing the characters than in almost any film outside the Grecianized- Near Eastern canon, wherein the feat is a bit easier since neither miraculous nor religious themes are made central in such adventures. . Well-remembered for its glowing realization, fine performances and intelligent dialogue, this dramatic effort bears repeated study.","positive"
"12735","Korea's answer to ""I Know What You Did Last Summer"" follows a similar story route to its American counterpart: one year after a group of high school friends accidentally kill a classmate, a masked killer begins to pick them off one by one. Who could have possibly seen them that night - or was their 'victim' still alive when they dumped him into the sea?<br /><br />Originality cannot be expected from the teen slasher genre anymore but an effort can still be made to ensure films of this ilke are entertaining and scary. RECORD is neither, churning out badly rehashed scenes from ""I Know..."", ""The House On Sorority Row"" and ""The Faculty"" (among many others) and failing to deliver one decent shock throughout the 95 minutes.<br /><br />Acting is decent from the cast who, as seems to be the norm in Korean cinema, approach an uninspiring script with gusto and an undeserved enthusiasm. Direction is mediocre at best, however; a strange choice of camera angles and the worst killer's costume *EVER* contributing to RECORD's downfall. Most disappointing is the film's ending, where the two 'surprise twists' are that obvious you've earlier dismissed them as being too blatant!<br /><br />RECORD's only saving grace is its bright start - the first act is actually excellent and shows the American counterparts how character development and setting the mood are supposed to be done - but, other than that, this is a very poor movie. Not recommended. <br /><br />** / *****","negative"
"44950","Bears about as much resemblance to Dean Koontz's novel as Jessica Simpson does to a rocket scientist. If you've read the book, I suggest you put it as far out of your mind as possible before watching the movie.<br /><br />Watchers is your typical ""Boy meets dog, dog turns out to be super-intelligent government lab experiment, dog and boy are pursued by super-intelligent and emotionally disturbed monster created by same lab, and, oh yeah, did I mention the shady government agents pursuing the monster pursuing the dog?"" movie.<br /><br />Corey Haim is the boy, Barbara Williams is his mother, Michael Ironside is one of the evil government guys, and Sandy the dog is, well, the dog (named Furface here; Einstein in the book).<br /><br />The monster effects are ridiculously cheesy, much of the dialogue is laughable, the script rarely makes sense or is believable - a good example is Haim's character's unquestioning acceptance of the dog's intelligence, as if every Fido off the street can type messages on a computer keyboard or bark once for yes and twice for no! Hmm, it's gotta be the puppy chow, right? Haim's performance is enthusiastic but shaky, as he carries off the stupid dialogue with the least amount of skill. Ironside has been the highlight of many a bad movie, and this is no exception. He easily gives the best performance of the movie, although I'm compelled to add that the dog (who's a pretty darn good actor himself!) comes in a close second.<br /><br />All in all, an atrociously dumb movie, and yet . . . And yet I watched it three times within a week. And yet I can't help liking it. Hey, what can I say, I have a taste for junk - and Michael Ironside (not that I've ever actually tasted Michael Ironside- I'm sure there are laws against that). But any movie that can make me laugh that hard (yes, even unintentionally) can't be all bad. Chalk it up to a guilty pleasure, a ""yes I know it's insultingly stupid but I like it anyway"" movie.<br /><br />It's tough for me to rate this. On a normal scale I'm forced to give it a D-, but on my own personal cheese scale, it gets bumped up to an A-.<br /><br />Yeah, I know. I'm weird like that.","positive"
